City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mujiayingzi,42.1167,118.7833,9.5,87,0,6.2,CN,1612664678
asyut,27.181,31.1837,53.6,76,0,6.91,EG,1612664682
honningsvag,70.9821,25.9704,27.81,94,100,25.75,NO,1612664685
adrar,20.5022,-10.0711,55.92,42,100,9.86,MR,1612664688
talnakh,69.4865,88.3972,-29.16,72,0,1.81,RU,1612664691
merritt island,28.5392,-80.672,71.01,94,90,4.61,US,1612664694
vila franca do campo,37.7167,-25.4333,59.0,88,75,19.57,PT,1612664698
marzuq,14.4,46.4667,55.44,74,0,1.5,YE,1612664701
coahuayana,18.7333,-103.6833,71.01,83,0,0.27,MX,1612664705
ngunguru,-35.6167,174.5,72.0,64,96,8.99,NZ,1612664708
gari,59.4307,62.3497,-7.44,91,100,13.15,RU,1612664712
koulikoro,14.0,-7.75,73.38,23,88,13.27,ML,1612664482
debre birhan,9.6833,39.5333,45.12,96,73,4.7,ET,1612664718
iquitos,-3.7481,-73.2472,75.2,94,0,2.51,PE,1612664721
prudyanka,50.2361,36.1683,8.6,72,0,11.18,UA,1612664724
san policarpo,12.1791,125.5072,81.28,84,100,15.48,PH,1612664728
oyama,36.3,139.8,59.0,33,20,11.5,JP,1612664731
vostok,46.4856,135.8833,-3.82,89,100,3.58,RU,1612664734
teluknaga,-6.0989,106.6381,82.4,78,75,14.97,ID,1612664568
smithers,54.7804,-127.1743,23.0,100,90,4.61,CA,1612664741
lagoa,39.05,-27.9833,60.15,91,100,27.47,PT,1612664744
zeya,53.75,127.2667,-6.77,80,0,3.02,RU,1612664481
tazovskiy,67.4667,78.7,-25.15,86,64,10.31,RU,1612664751
praia,14.9215,-23.5087,68.0,60,75,23.02,CV,1612664754
honiara,-9.4333,159.95,77.61,89,100,7.96,SB,1612664728
portland,45.5234,-122.6762,46.99,87,90,3.44,US,1612664126
charcas,23.1333,-101.1167,62.71,24,0,8.75,MX,1612664764
cidreira,-30.1811,-50.2056,67.93,75,71,6.02,BR,1612664767
nizwa,22.9333,57.5333,48.79,64,0,0.72,OM,1612664770
tommot,58.9564,126.2925,-14.17,83,100,0.38,RU,1612664773
santa luzia,-19.7697,-43.8514,68.0,94,90,7.43,BR,1612664776
acapulco,16.8634,-99.8901,80.6,74,1,4.61,MX,1612664780
pereira barreto,-20.6383,-51.1092,68.95,73,0,4.12,BR,1612664783
umm lajj,25.0213,37.2685,67.66,50,0,18.75,SA,1612664786
myanaung,18.2833,95.3167,75.85,51,84,2.66,MM,1612664789
kupang,-10.1667,123.5833,84.2,84,75,10.36,ID,1612664651
satis,54.9229,43.2298,-8.05,89,100,10.13,RU,1612664796
bloemfontein,-29.1211,26.214,60.8,88,0,4.61,ZA,1612664596
hounde,11.5,-3.5167,76.68,22,99,2.42,BF,1612664803
limoges,45.75,1.3333,41.0,93,90,12.66,FR,1612664806
savelugu,9.6244,-0.8253,81.95,19,70,5.21,GH,1612664738
petropavlovsk-kamchatskiy,53.0452,158.6483,30.2,59,40,11.18,RU,1612664810
prince rupert,54.3161,-130.3201,39.2,75,75,8.05,CA,1612664816
necochea,-38.5473,-58.7368,59.0,84,2,11.56,AR,1612664602
ust-karsk,52.7011,118.8077,-9.31,83,97,1.3,RU,1612664822
hay river,60.8156,-115.7999,-34.6,67,10,2.3,CA,1612664574
sorland,67.667,12.6934,35.4,79,11,17.87,NO,1612664828
nara,34.6851,135.8049,57.99,66,20,13.8,JP,1612664832
minuri,16.535,121.8574,77.13,81,93,1.43,PH,1612664835
muravlenko,63.7898,74.523,3.97,95,100,19.53,RU,1612664838
twentynine palms,34.1356,-116.0542,64.4,14,1,1.01,US,1612664842
angouleme,45.65,0.15,41.0,93,0,6.91,FR,1612664845
morondava,-20.2833,44.2833,80.1,80,1,8.16,MG,1612664848
creel,27.75,-107.6333,42.44,59,0,3.65,MX,1612664851
saint-augustin,51.226,-58.6502,32.47,97,100,19.8,CA,1612664855
fenoarivo atsinanana,-17.3667,49.4167,75.13,88,99,4.07,MG,1612664858
waipawa,-41.4122,175.5153,75.99,60,89,8.05,NZ,1612664861
la paz,-16.5,-68.15,46.4,76,40,6.91,BO,1612664757
marsabit,2.3284,37.9899,68.22,65,0,9.37,KE,1612664868
samarinda,-0.5,117.15,84.72,69,100,3.09,ID,1612664871
sakaiminato,35.55,133.2333,51.8,66,75,9.22,JP,1612664874
tual,-5.6667,132.75,83.88,79,100,20.42,ID,1612664878
svetlyy,54.675,20.1347,21.99,84,0,2.24,RU,1612664881
grand gaube,-20.0064,57.6608,75.99,86,2,1.99,MU,1612664884
hvolsvollur,63.7533,-20.2243,27.61,91,0,11.05,IS,1612664887
dibrugarh,27.4833,94.9,60.8,82,75,6.91,IN,1612664890
thomaston,32.8882,-84.3266,39.99,93,90,13.8,US,1612664894
teguldet,57.3064,88.1667,30.74,98,100,7.83,RU,1612664897
chunoyar,57.4467,97.3217,16.48,96,100,4.79,RU,1612664900
rockland,41.1668,-74.0496,30.99,69,86,3.02,US,1612664903
pitimbu,-7.4706,-34.8086,78.8,83,20,2.3,BR,1612664907
karaman,37.0833,33.25,42.69,59,0,6.2,TR,1612664910
dolores,-36.3132,-57.6792,61.3,90,0,8.9,AR,1612664914
troitskoye,52.9821,84.6757,27.3,93,75,13.44,RU,1612664917
thinadhoo,0.5333,72.9333,81.43,74,0,12.97,MV,1612664920
ahipara,-35.1667,173.1667,69.31,66,95,1.61,NZ,1612664923
tilichiki,60.4667,166.1,18.03,88,100,17.92,RU,1612664926
khed brahma,24.0333,73.05,55.42,38,0,6.44,IN,1612664930
khasan,42.4308,130.6434,17.42,84,0,14.38,RU,1612664933
havre-saint-pierre,50.2334,-63.5986,28.4,93,90,31.07,CA,1612664936
lima,-12.0432,-77.0282,75.0,68,75,9.22,PE,1612664640
yining,29.0361,114.5636,61.36,69,39,0.87,CN,1612664793
saint-francois,46.4154,3.9054,46.4,93,90,11.5,FR,1612664946
palmer,42.1584,-72.3287,27.0,68,40,4.43,US,1612664804
belem de sao francisco,-8.7539,-38.9658,83.17,35,89,10.07,BR,1612664953
meridian,43.6121,-116.3915,48.2,43,90,6.91,US,1612664956
salalah,17.0151,54.0924,73.4,68,75,1.14,OM,1612664772
mkushi,-13.6202,29.3939,64.2,94,100,3.22,ZM,1612664963
salvador,13.8333,-88.9167,75.2,83,0,4.61,SV,1612664751
kattivakkam,13.2167,80.3167,71.6,83,20,2.3,IN,1612664969
hambantota,6.1241,81.1185,75.2,100,91,5.75,LK,1612664972
johi,26.6921,67.6133,54.09,36,0,4.41,PK,1612664975
jamame,0.0722,42.7506,73.08,90,7,6.93,SO,1612664979
waverly,42.7392,-84.6208,16.0,79,90,12.66,US,1612664982
lata,40.1629,-8.3327,50.0,66,40,11.5,PT,1612664782
kendari,-3.945,122.4989,83.73,74,100,1.68,ID,1612664827
tucuman,-26.8241,-65.2226,80.6,69,90,6.91,AR,1612664953
ballina,-28.8667,153.5667,89.6,61,100,10.36,AU,1612664995
port moresby,-9.4431,147.1797,91.4,62,40,11.5,PG,1612664998
nobres,-14.7203,-56.3275,76.03,72,99,1.74,BR,1612665002
komsomolskiy,40.4272,71.7189,41.0,60,99,4.61,UZ,1612665006
saint-pierre,-21.3393,55.4781,78.8,69,20,6.91,RE,1612665009
poronaysk,49.2167,143.1167,2.93,88,6,2.73,RU,1612665014
voh,-20.9667,164.7,84.61,60,13,7.2,NC,1612665017
charters towers,-20.1,146.2667,90.14,50,100,5.48,AU,1612665020
dabakala,8.3667,-4.4333,76.8,66,100,2.57,CI,1612665024
doiwala,30.1833,78.1167,56.46,36,0,3.74,IN,1612665027
gushi,34.6425,109.5843,53.96,36,100,4.79,CN,1612665030
viedma,-40.8135,-62.9967,63.0,67,100,1.01,AR,1612664773
batticaloa,7.7102,81.6924,79.88,83,22,10.58,LK,1612665037
mitsamiouli,-11.3847,43.2844,82.18,75,72,8.9,KM,1612665040
kuybysheve,47.358,36.6491,22.03,89,78,10.45,UA,1612665044
mayo,38.8876,-76.5119,42.8,60,1,6.24,US,1612665047
nordby,55.446,8.3979,24.01,80,75,14.97,DK,1612665051
miranda,3.2499,-76.2281,75.2,78,20,8.05,CO,1612665054
zaysan,47.4667,84.8667,23.32,90,99,0.87,KZ,1612665057
rantepao,-2.9701,119.8978,84.36,54,74,2.3,ID,1612665061
ferrol,43.4832,-8.2369,46.99,88,65,5.99,ES,1612665064
terrace bay,48.7834,-87.1,-2.2,71,80,2.3,CA,1612665068
big rapids,43.6981,-85.4837,12.99,85,90,5.75,US,1612665071
quatre cocos,-20.2078,57.7625,75.99,88,40,5.75,MU,1612665074
malanje,-9.5402,16.341,64.17,98,100,5.03,AO,1612665077
matara,5.9485,80.5353,77.94,82,76,4.34,LK,1612665033
davidson,36.1501,-86.7833,44.6,61,90,5.75,US,1612665084
eufaula,31.8913,-85.1455,45.0,93,90,5.75,US,1612664906
shubarkuduk,49.1447,56.4872,12.87,95,97,9.89,KZ,1612665091
puteyets,65.1716,57.091,-30.73,83,100,11.9,RU,1612665094
pozo colorado,-23.4923,-58.7972,67.19,71,0,4.72,PY,1612665097
cantaura,9.3057,-64.3584,74.91,74,99,13.85,VE,1612665100
leh,34.1667,77.5833,8.06,51,0,2.04,IN,1612665104
santa barbara,34.7333,-120.0343,62.01,67,1,6.91,US,1612665033
san roque,36.2107,-5.3842,53.6,76,75,14.97,ES,1612665110
ixtapa,20.7,-105.2,72.0,83,40,5.75,MX,1612665113
garmsar,35.2182,52.3409,49.86,70,100,1.01,IR,1612665117
cuite,-6.4836,-36.1536,67.77,97,73,8.3,BR,1612665120
kibala,9.1104,18.3463,75.2,19,0,6.91,TD,1612665123
freetown,8.484,-13.2299,77.09,72,18,5.77,SL,1612665127
black river,18.0264,-77.8487,77.0,73,20,4.61,JM,1612665130
gidole,5.65,37.3667,61.52,58,84,2.01,ET,1612665133
launceston,-41.45,147.1667,73.99,43,3,10.36,AU,1612665137
port lincoln,-34.7333,135.8667,63.73,64,95,12.53,AU,1612665140
shimoda,34.6667,138.95,57.2,58,20,4.61,JP,1612665143
bilma,18.6853,12.9164,58.64,30,4,5.61,NE,1612665146
berkakit,56.5807,124.7681,-13.85,87,100,3.33,RU,1612665150
lebanon,36.2081,-86.2911,43.0,61,90,6.17,US,1612664890
debre zeyit,8.75,38.9833,57.11,78,95,4.47,ET,1612665156
rancho palos verdes,33.7445,-118.387,59.0,51,1,8.05,US,1612665159
srednekolymsk,67.45,153.6833,-13.0,84,0,1.59,RU,1612665163
lazaro cardenas,17.9583,-102.2,73.26,76,0,1.57,MX,1612665166
marsa matruh,31.3525,27.2453,48.2,87,0,6.91,EG,1612665169
velika kladusa,45.1894,15.8117,43.0,87,43,2.26,BA,1612665172
edgewater,28.9889,-80.9023,66.2,94,90,6.55,US,1612665176
harnai,30.1005,67.9374,53.44,37,0,0.56,PK,1612665179
beryslav,46.8415,33.4284,27.7,85,93,8.48,UA,1612665182
ukiah,39.1502,-123.2078,57.2,58,1,3.44,US,1612665185
santiago de cao,-7.9589,-79.2392,70.32,79,100,9.89,PE,1612665189
el alto,-4.2714,-81.2147,72.82,79,31,13.89,PE,1612665192
kulhudhuffushi,6.6221,73.07,81.34,69,18,10.18,MV,1612665196
aracuai,-16.8497,-42.0703,71.83,89,100,0.45,BR,1612664946
staryy krym,45.0333,35.1,29.03,98,100,8.66,UA,1612665202
leopold,-38.1833,144.4667,68.0,68,90,17.27,AU,1612665206
cherskiy,68.75,161.3,-3.15,81,0,2.82,RU,1612665209
yangjiang,21.85,111.9667,78.01,45,0,6.17,CN,1612665212
avera,33.194,-82.5271,39.99,91,90,9.22,US,1612665215
plougastel-daoulas,48.3667,-4.3667,41.0,81,90,8.05,FR,1612665219
lobito,-12.3481,13.5456,73.9,82,100,2.08,AO,1612665222
constitucion,-35.3333,-72.4167,56.59,90,19,4.68,CL,1612665225
gloversville,43.0528,-74.3438,19.99,49,1,4.61,US,1612665228
slave lake,55.2834,-114.769,-25.6,68,1,2.3,CA,1612665231
puerto colombia,10.9878,-74.9547,78.8,78,0,12.66,CO,1612665235
xingyi,24.1877,102.817,53.4,83,93,2.04,CN,1612665238
terney,45.0503,136.6092,10.09,83,0,11.79,RU,1612665241
palu,-0.8917,119.8707,90.45,48,100,3.04,ID,1612665109
ust-kuyga,70.0167,135.6,-26.5,82,100,5.35,RU,1612665248
vanimo,-2.6741,141.3028,82.13,81,99,5.44,PG,1612665251
aguimes,27.9054,-15.4461,60.01,77,40,8.05,ES,1612665254
bull savanna,17.8868,-77.5902,73.53,88,11,12.59,JM,1612665258
spencer,43.1414,-95.1444,-5.8,71,1,6.91,US,1612665261
polewali,-3.4324,119.3435,87.04,61,58,3.56,ID,1612665264
metro,-5.1131,105.3067,82.11,77,93,14.94,ID,1612665267
rongcheng,30.634,117.8517,61.68,57,33,4.0,CN,1612665271
bell ville,-32.6259,-62.6887,70.34,39,0,7.38,AR,1612665274
malakal,9.5334,31.6605,63.1,29,0,8.19,SS,1612665278
meadow lake,34.8014,-106.5436,46.4,13,1,5.75,US,1612665281
kotelnikovo,47.6317,43.1461,24.1,86,15,12.59,RU,1612665284
